Time,SourceSatellite,TargetSatellite,Distance
2020-08-01 16:15:00,Sat1_16,Sat1_17,1971.9637837869202
2020-08-01 16:20:00,Sat1_16,Sat1_17,1971.9637837869227
2020-08-01 16:25:00,Sat1_16,Sat1_17,1971.9637837869186
2020-08-01 16:30:00,Sat1_16,Sat1_17,1971.9163787086643
2020-08-01 16:00:00,Sat1_17,Sat2_17,666.684900593647
2020-08-01 16:05:00,Sat1_17,Sat2_17,676.3599903849583
2020-08-01 16:10:00,Sat1_17,Sat2_17,716.2116318294139
2020-08-01 16:15:00,Sat1_17,Sat2_17,766.7192395977672
2020-08-01 16:20:00,Sat1_17,Sat2_17,806.8361992966582
2020-08-01 16:25:00,Sat1_17,Sat2_17,822.2301031894042
2020-08-01 16:30:00,Sat1_17,Sat2_17,807.8536741221058
2020-08-01 16:00:00,Sat1_17,Sat1_18,1971.9637837869195
2020-08-01 16:05:00,Sat1_17,Sat1_18,1971.9637837869193
2020-08-01 16:10:00,Sat1_17,Sat1_18,1971.9637837869204
2020-08-01 16:15:00,Sat1_17,Sat1_18,1971.96378378692
2020-08-01 16:20:00,Sat1_17,Sat1_18,1971.9637837869216
2020-08-01 16:25:00,Sat1_17,Sat1_18,1971.9637837869163
2020-08-01 16:30:00,Sat1_17,Sat1_18,1971.916378708374
2020-08-01 16:00:00,Sat1_18,Sat2_18,673.0801451215176
2020-08-01 16:05:00,Sat1_18,Sat2_18,709.9226276600546
2020-08-01 16:10:00,Sat1_18,Sat2_18,760.3158598653149
2020-08-01 16:15:00,Sat1_18,Sat2_18,802.7869813731331
2020-08-01 16:20:00,Sat1_18,Sat2_18,821.8987267057254
2020-08-01 16:25:00,Sat1_18,Sat2_18,811.3619410359511
2020-08-01 16:30:00,Sat1_18,Sat2_18,774.5824142878204
2020-08-01 16:00:00,Sat1_18,Sat1_19,1971.9637837869261
2020-08-01 16:05:00,Sat1_18,Sat1_19,1971.963783786925
2020-08-01 16:10:00,Sat1_18,Sat1_19,1971.9637837869254
2020-08-01 16:15:00,Sat1_18,Sat1_19,1971.963783786927
2020-08-01 16:20:00,Sat1_18,Sat1_19,1971.9637837869268
2020-08-01 16:25:00,Sat1_18,Sat1_19,1971.9637837869263
2020-08-01 16:30:00,Sat1_18,Sat1_19,1971.9163787079221
2020-08-01 16:00:00,Sat1_19,Sat2_19,703.8677496515455
2020-08-01 16:05:00,Sat1_19,Sat2_19,753.7675365714392
2020-08-01 16:10:00,Sat1_19,Sat2_19,798.326533747941
2020-08-01 16:15:00,Sat1_19,Sat2_19,821.0494080795181
2020-08-01 16:20:00,Sat1_19,Sat2_19,814.3948372518632
2020-08-01 16:25:00,Sat1_19,Sat2_19,780.5173524554394
2020-08-01 16:30:00,Sat1_19,Sat2_19,731.0901241463902
2020-08-01 16:00:00,Sat1_19,Sat1_20,1971.963783786912
2020-08-01 16:05:00,Sat1_19,Sat1_20,1971.9637837869138
2020-08-01 16:10:00,Sat1_19,Sat1_20,1971.963783786911
2020-08-01 16:15:00,Sat1_19,Sat1_20,1971.9637837869118
2020-08-01 16:20:00,Sat1_19,Sat1_20,1971.963783786915
2020-08-01 16:25:00,Sat1_19,Sat1_20,1971.9637837869097
2020-08-01 16:30:00,Sat1_19,Sat1_20,1971.9163787074106
2020-08-01 16:00:00,Sat1_20,Sat2_20,747.1198116078707
2020-08-01 16:05:00,Sat1_20,Sat2_20,793.4815573052002
2020-08-01 16:10:00,Sat1_20,Sat2_20,819.685728235862
2020-08-01 16:15:00,Sat1_20,Sat2_20,816.9507547444709
2020-08-01 16:20:00,Sat1_20,Sat2_20,786.1602513555212
2020-08-01 16:25:00,Sat1_20,Sat2_20,737.7990872121532
2020-08-01 16:30:00,Sat1_20,Sat2_20,690.6252648968052
2020-08-01 16:00:00,Sat1_20,Sat1_21,1971.963783786919
2020-08-01 16:05:00,Sat1_20,Sat1_21,1971.963783786921
2020-08-01 16:10:00,Sat1_20,Sat1_21,1971.963783786919
2020-08-01 16:15:00,Sat1_20,Sat1_21,1971.9637837869232
2020-08-01 16:20:00,Sat1_20,Sat1_21,1971.9637837869216
2020-08-01 16:25:00,Sat1_20,Sat1_21,1971.9637837869207
2020-08-01 16:30:00,Sat1_20,Sat1_21,1971.9163787070493
2020-08-01 16:00:00,Sat1_21,Sat2_21,788.2805121461807
2020-08-01 16:05:00,Sat1_21,Sat2_21,817.8162916305696
2020-08-01 16:10:00,Sat1_21,Sat2_21,819.0154688680666
2020-08-01 16:15:00,Sat1_21,Sat2_21,791.4917527463942
2020-08-01 16:20:00,Sat1_21,Sat2_21,744.5072821358324
2020-08-01 16:25:00,Sat1_21,Sat2_21,695.9325999817718
2020-08-01 16:30:00,Sat1_21,Sat2_21,667.5736409368169
2020-08-01 16:00:00,Sat1_21,Sat1_22,1971.9637837869248
2020-08-01 16:05:00,Sat1_21,Sat1_22,1971.9637837869252
2020-08-01 16:10:00,Sat1_21,Sat1_22,1971.9637837869257
2020-08-01 16:15:00,Sat1_21,Sat1_22,1971.9637837869238
2020-08-01 16:20:00,Sat1_21,Sat1_22,1971.963783786926
2020-08-01 16:25:00,Sat1_21,Sat1_22,1971.9637837869202
2020-08-01 16:30:00,Sat1_21,Sat1_22,1971.916378706923
2020-08-01 16:00:00,Sat1_22,Sat2_22,815.4503835363329
2020-08-01 16:05:00,Sat1_22,Sat2_22,820.577878766037
2020-08-01 16:10:00,Sat1_22,Sat2_22,796.479045826942
2020-08-01 16:15:00,Sat1_22,Sat2_22,751.1815774081693
2020-08-01 16:20:00,Sat1_22,Sat2_22,701.5783008558267
2020-08-01 16:25:00,Sat1_22,Sat2_22,669.4689767213232
2020-08-01 16:30:00,Sat1_22,Sat2_22,671.1981459877276
2020-08-01 16:00:00,Sat1_22,Sat1_1,1971.9637837869213
2020-08-01 16:05:00,Sat1_22,Sat1_1,1971.9637837869202
2020-08-01 16:10:00,Sat1_22,Sat1_1,1971.9637837869202
2020-08-01 16:15:00,Sat1_22,Sat1_1,1971.963783786923
2020-08-01 16:20:00,Sat1_22,Sat1_1,1971.9637837869257
2020-08-01 16:25:00,Sat1_22,Sat1_1,1971.963783786924
2020-08-01 16:30:00,Sat1_22,Sat1_1,1971.9163787070886
2020-08-01 16:00:00,Sat2_1,Sat3_1,820.5538218781635
2020-08-01 16:05:00,Sat2_1,Sat3_1,796.3923007626402
2020-08-01 16:10:00,Sat2_1,Sat3_1,751.0611741577818
2020-08-01 16:15:00,Sat2_1,Sat3_1,701.4730598509598
2020-08-01 16:20:00,Sat2_1,Sat3_1,669.429317542764
2020-08-01 16:25:00,Sat2_1,Sat3_1,671.2618111238372
2020-08-01 16:30:00,Sat2_1,Sat3_1,705.966205100547
2020-08-01 16:00:00,Sat2_1,Sat2_2,1971.9637837869207
2020-08-01 16:05:00,Sat2_1,Sat2_2,1971.9637837869195
2020-08-01 16:10:00,Sat2_1,Sat2_2,1971.9637837869227
2020-08-01 16:15:00,Sat2_1,Sat2_2,1971.963783786923
2020-08-01 16:20:00,Sat2_1,Sat2_2,1971.9637837869248
2020-08-01 16:25:00,Sat2_1,Sat2_2,1971.9637837869227
2020-08-01 16:30:00,Sat2_1,Sat2_2,1971.9163791584187
2020-08-01 16:00:00,Sat2_2,Sat3_2,801.0128161959917
2020-08-01 16:05:00,Sat2_2,Sat3_2,757.6558289419768
2020-08-01 16:10:00,Sat2_2,Sat3_2,707.4182685809092
2020-08-01 16:15:00,Sat2_2,Sat3_2,671.9018607592999
2020-08-01 16:20:00,Sat2_2,Sat3_2,668.930871977909
2020-08-01 16:25:00,Sat2_2,Sat3_2,700.1053656064668
2020-08-01 16:30:00,Sat2_2,Sat3_2,749.4667637087531
2020-08-01 16:00:00,Sat2_2,Sat2_3,1971.9637837869216
2020-08-01 16:05:00,Sat2_2,Sat2_3,1971.9637837869202
2020-08-01 16:10:00,Sat2_2,Sat2_3,1971.9637837869202
